event_type,host_event_ns,link_id,task_id,ifname,thread_name,can_id,seq,nominal_period_ns,planned_release_ns,wakeup_ns,send_call_ns,send_ret,cpu_id,sched_policy,sched_priority
TX,19301508594277,3,0,can11,tx_can11,256,26,1000000,19301508529151,19301508593999,19301508594277,16,1,0,0
TX,19301508912350,0,0,can00,tx_can00,256,29,1000000,19301508839843,19301508912220,19301508912350,16,3,0,0
TX,19301508968349,2,0,can01,tx_can01,256,28,1000000,19301508896635,19301508968127,19301508968349,16,1,0,0
TX,19301509023331,2,1,can01,tx_can01,257,14,2000000,19301508896635,19301508968127,19301509023331,16,1,0,0
TX,19301509508866,1,0,can10,tx_can10,256,29,1000000,19301509441637,19301509508773,19301509508866,16,1,0,0
TX,19301509594958,3,0,can11,tx_can11,256,27,1000000,19301509529151,19301509594736,19301509594958,16,1,0,0
TX,19301509655420,3,1,can11,tx_can11,257,14,2000000,19301509529151,19301509594736,19301509655420,16,1,0,0
TX,19301510010271,2,0,can01,tx_can01,256,29,1000000,19301509896635,19301510010030,19301510010271,16,1,0,0
TX,19301510053178,0,0,can00,tx_can00,256,30,1000000,19301509839843,19301510052623,19301510053178,16,2,0,0
TX,19301510073900,0,1,can00,tx_can00,257,15,2000000,19301509839843,19301510052623,19301510073900,16,2,0,0
TX,19301510089030,0,2,can00,tx_can00,258,3,10000000,19301509839843,19301510052623,19301510089030,16,2,0,0
TX,19301510510084,1,0,can10,tx_can10,256,30,1000000,19301510441637,19301510509898,19301510510084,16,1,0,0
TX,19301510539639,1,1,can10,tx_can10,257,15,2000000,19301510441637,19301510509898,19301510539639,16,1,0,0
TX,19301510555269,1,2,can10,tx_can10,258,3,10000000,19301510441637,19301510509898,19301510555269,16,1,0,0
TX,19301510594879,3,0,can11,tx_can11,256,28,1000000,19301510529151,19301510594805,19301510594879,16,1,0,0
TX,19301510962156,2,0,can01,tx_can01,256,30,1000000,19301510896635,19301510961915,19301510962156,16,1,0,0
TX,19301511018285,2,1,can01,tx_can01,257,15,2000000,19301510896635,19301510961915,19301511018285,16,1,0,0
TX,19301511068989,2,2,can01,tx_can01,258,3,10000000,19301510896635,19301510961915,19301511068989,16,1,0,0
TX,19301511117359,0,0,can00,tx_can00,256,31,1000000,19301510839843,19301511117229,19301511117359,16,2,0,0
