exp_id,thread_name,ifname,can_id,seq,nominal_period_ns,planned_release_ns,wakeup_ns,send_call_ns,send_ret,cpu_id,sched_policy,sched_priority
1,tx_can00,can00,0x110,42,1000000,6677975655719,6677975733590,6677975843515,16,3,0,0
1,tx_can01,can01,0x210,42,1000000,6677975666108,6677975745182,6677975856070,16,2,0,0
1,tx_can00,can00,0x111,21,2000000,6677975655719,6677975890385,6677976056587,16,3,0,0
1,tx_can01,can01,0x211,21,2000000,6677975666108,6677975894070,6677976057143,16,2,0,0
1,tx_can00,can00,0x110,43,1000000,6677976655719,6677976733674,6677976842432,16,3,0,0
1,tx_can01,can01,0x210,43,1000000,6677976666108,6677976745266,6677976856580,16,2,0,0
1,tx_can00,can00,0x110,44,1000000,6677977655719,6677977734573,6677977842702,16,3,0,0
1,tx_can01,can01,0x210,44,1000000,6677977666108,6677977744906,6677977854720,16,2,0,0
1,tx_can00,can00,0x111,22,2000000,6677977655719,6677977890127,6677978029348,16,3,0,0
1,tx_can01,can01,0x211,22,2000000,6677977666108,6677977892812,6677978034404,16,2,0,0
1,tx_can00,can00,0x110,45,1000000,6677978655719,6677978734583,6677978842471,16,3,0,0
1,tx_can01,can01,0x210,45,1000000,6677978666108,6677978745379,6677978855082,16,2,0,0
1,tx_can00,can00,0x110,46,1000000,6677979655719,6677979735093,6677979842592,16,3,0,0
1,tx_can01,can01,0x210,46,1000000,6677979666108,6677979744815,6677979855851,16,2,0,0
1,tx_can00,can00,0x111,23,2000000,6677979655719,6677979889925,6677980056664,16,3,0,0
1,tx_can01,can01,0x211,23,2000000,6677979666108,6677979894092,6677980139516,16,2,0,0
1,tx_can00,can00,0x110,47,1000000,6677980655719,6677980734696,6677980847917,16,3,0,0
1,tx_can01,can01,0x210,47,1000000,6677980666108,6677980746233,6677980857510,16,2,0,0
1,tx_can00,can00,0x110,48,1000000,6677981655719,6677981734484,6677981843260,16,3,0,0
1,tx_can01,can01,0x210,48,1000000,6677981666108,6677981745447,6677981854353,16,2,0,0
1,tx_can00,can00,0x111,24,2000000,6677981655719,6677981890705,6677982030018,16,3,0,0
1,tx_can01,can01,0x211,24,2000000,6677981666108,6677981892797,6677982035092,16,2,0,0
1,tx_can00,can00,0x110,49,1000000,6677982655719,6677982734679,6677982842752,16,3,0,0
1,tx_can01,can01,0x210,49,1000000,6677982666108,6677982745383,6677982854937,16,2,0,0
1,tx_can00,can00,0x100,5,10000000,6677983655719,6677983734078,6677983841855,16,3,0,0
1,tx_can01,can01,0x200,5,10000000,6677983666108,6677983745133,6677983856669,16,2,0,0
1,tx_can00,can00,0x110,50,1000000,6677983655719,6677983888891,6677984052075,16,3,0,0
1,tx_can01,can01,0x210,50,1000000,6677983666108,6677983894873,6677984057186,16,2,0,0
1,tx_can00,can00,0x111,25,2000000,6677983655719,6677984098575,6677984234407,16,3,0,0
1,tx_can01,can01,0x211,25,2000000,6677983666108,6677984095464,6677984238685,16,2,0,0
1,tx_can00,can00,0x110,51,1000000,6677984655719,6677984735347,6677984845883,16,3,0,0
1,tx_can01,can01,0x210,51,1000000,6677984666108,6677984745755,6677984857735,16,2,0,0
1,tx_can00,can00,0x110,52,1000000,6677985655719,6677985734154,6677985842819,16,3,0,0
1,tx_can01,can01,0x210,52,1000000,6677985666108,6677985745042,6677985854430,16,2,0,0
1,tx_can00,can00,0x111,26,2000000,6677985655719,6677985890615,6677986030188,16,3,0,0
1,tx_can01,can01,0x211,26,2000000,6677985666108,6677985892652,6677986034429,16,2,0,0
1,tx_can00,can00,0x110,53,1000000,6677986655719,6677986734571,6677986841978,16,3,0,0
1,tx_can01,can01,0x210,53,1000000,6677986666108,6677986745534,6677986857329,16,2,0,0
